handle,title,title_ka,product_type,vendor,tags,collection,daily_rate_gel,weekly_rate_gel,deposit_gel,brand,capacity,weight_kg,season_rating,condition_grade,whats_included,description,description_ka,seo_title,seo_title_ka,seo_description,seo_description_ka
2-person-tent-msr-hubba,MSR Hubba Hubba 2-Person Tent Rental,MSR Hubba Hubba 2 ადგილიანი კარავის გაქირავება,Tent,MSR,"tent,2-person,3-season,beginner-friendly",tents-shelters,35,80,100,MSR,2-person,1.54,3-season,Excellent,"Tent body, rainfly, poles, stakes, guy lines, stuff sack, footprint",Lightweight 2-person backpacking tent ideal for weekend hikes around Tbilisi and multi-day treks in Georgia.,მსუბუქი 2 ადგილიანი ტურისტული კარავი შაბათ-კვირის ლაშქრობებისთვის თბილისის მიდამოში და მრავალდღიანი ტრეკებისთვის საქართველოში.,2-Person Tent Rental Tbilisi | [Your Brand],2 ადგილიანი კარავის გაქირავება თბილისი | [Your Brand],Rent MSR Hubba Hubba 2-person tent with door delivery in Tbilisi. 35 GEL/day or 80 GEL/week. Free return pickup.,გაირიქავეთ MSR Hubba Hubba 2 ადგილიანი კარავი კარის მიწოდებით თბილისში. 35 ლარი/დღე ან 80 ლარი/კვირა. უფასო დაბრუნების აღება.
4-person-tent-naturehike,Naturehike Cloud Peak 4-Person Tent Rental,Naturehike Cloud Peak 4 ადგილიანი კარავის გაქირავება,Tent,Naturehike,"tent,4-person,family,beginner-friendly",tents-shelters,45,100,120,Naturehike,4-person,3.2,3-season,Excellent,"Tent body, rainfly, poles, stakes, guy lines, stuff sack",Spacious family tent perfect for car camping and group trips. Easy setup.,ფართო ოჯახური კარავი მანქანით ბანაკისა და ჯგუფური მოგზაურობებისთვის. მარტივი დაყენება.,4-Person Tent Rental Tbilisi | [Your Brand],4 ადგილიანი კარავის გაქირავება თბილისი | [Your Brand],Rent a 4-person camping tent delivered to your door in Tbilisi. 45 GEL/day. Free return pickup included.,გაირიქავეთ 4 ადგილიანი ბანაკის კარავი კარის მიწოდებით თბილისში. 45 ლარი/დღე. უფასო დაბრუნების აღება ჩართულია.
ultralight-tent-naturehike,Naturehike Cloud Wing 1-Person Tent Rental,Naturehike Cloud Wing 1 ადგილიანი კარავის გაქირავება,Tent,Naturehike,"tent,1-person,ultralight",tents-shelters,30,70,80,Naturehike,1-person,0.95,3-season,Excellent,"Tent body, rainfly, poles, stakes, stuff sack",Ultralight solo tent for fast-and-light hiking. Under 1 kg packed weight.,ულტრამსუბუქი სოლო კარავი სწრაფი და მსუბუქი ლაშქრობებისთვის. შეკუმშვისას 1 კგ-ზე ნაკლები.,1-Person Ultralight Tent Rental Tbilisi | [Your Brand],1 ადგილიანი ულტრამსუბუქი კარავის გაქირავება თბილისი | [Your Brand],Rent an ultralight 1-person tent in Tbilisi. 30 GEL/day. Door delivery 5 GEL.,გაირიქავეთ ულტრამსუბუქი 1 ადგილიანი კარავი თბილისში. 30 ლარი/დღე. კარის მიწოდება 5 ლარი.
backpack-40l-osprey,Osprey Talon 44L Backpack Rental — Men's M/L,Osprey Talon 44L ზურგჩანთის გაქირავება — კაცის M/L,Backpack,Osprey,"backpack,daypack,multi-day,beginner-friendly",backpacks,25,60,75,Osprey,44L,1.2,All-season,Excellent,"Backpack, rain cover, repair patch kit",Versatile 44L day/multi-day pack with adjustable harness. Fits torso M/L.,მრავალმხრივი 44L დღიური/მრავალდღიანი ჩანთა რეგულირებადი სისტემით. ტორსოს ზომა M/L.,Backpack Rental Tbilisi | [Your Brand],ზურგჩანთის გაქირავება თბილისი | [Your Brand],Rent Osprey Talon 44L backpack with delivery in Tbilisi. 25 GEL/day or 60 GEL/week.,გაირიქავეთ Osprey Talon 44L ზურგჩანთა მიწოდებით თბილისში. 25 ლარი/დღე ან 60 ლარი/კვირა.
backpack-65l-deuter,Deuter Aircontact 65+10L Backpack Rental — Men's,Deuter Aircontact 65+10L ზურგჩანთის გაქირავება — კაცის,Backpack,Deuter,"backpack,multi-day,trekking",backpacks,30,75,100,Deuter,65+10L,2.1,All-season,Excellent,"Backpack, rain cover, pack liner",Heavy-duty trekking pack for multi-day hikes. Adjustable back system.,მძიმე მრავალდღიანი ტრეკის ჩანთა რეგულირებადი ზურგის სისტემით.,65L Trekking Backpack Rental Tbilisi | [Your Brand],65L ტრეკინგის ზურგჩანთის გაქირავება თბილისი | [Your Brand],Rent Deuter 65L trekking backpack delivered in Tbilisi. 30 GEL/day. Free return pickup.,გაირიქავეთ Deuter 65L ტრეკინგის ზურგჩანთა მიწოდებით თბილისში. 30 ლარი/დღე. უფასო დაბრუნების აღება.
backpack-30l-day,Deuter Futura 28L Day Pack Rental — Unisex,Deuter Futura 28L დღიური ჩანთის გაქირავება — უნისექსი,Backpack,Deuter,"backpack,daypack,beginner-friendly",backpacks,18,45,50,Deuter,28L,0.9,All-season,Good,"Backpack, rain cover",Comfortable day pack for day hikes around Tbilisi and short trips.,კომფორტული დღიური ჩანთა თბილისის მიდამოს ლაშქრობებისა და მოკლე მოგზაურობებისთვის.,Day Pack Rental Tbilisi | [Your Brand],დღიური ჩანთის გაქირავება თბილისი | [Your Brand],Rent a 28L day hiking backpack in Tbilisi. 18 GEL/day. Door delivery 5 GEL.,გაირიქავეთ 28L დღიური ლაშქრობის ზურგჩანთა თბილისში. 18 ლარი/დღე. კარის მიწოდება 5 ლარი.
sleeping-bag-comfort,Sleeping Bag — Comfort 0°C Rental,საძილე ჩანთა — კომფორტი 0°C გაქირავება,Sleeping Bag,Sea to Summit,"sleeping-bag,3-season,beginner-friendly",sleeping-systems,15,40,50,Sea to Summit,Regular,0.85,3-season,Excellent,"Sleeping bag, compression stuff sack",Comfort-rated to 0°C. Suitable for most Georgian hiking seasons.,კომფორტის რეიტინგი 0°C-მდე. შესაფერისია საქართველოს უმეტესი ლაშქრობის სეზონისთვის.,Sleeping Bag Rental Tbilisi | [Your Brand],საძილე ჩანთის გაქირავება თბილისი | [Your Brand],Rent a comfort sleeping bag (0°C) in Tbilisi. 15 GEL/day. Delivered to your door.,გაირიქავეთ კომფორტის საძილე ჩანთა (0°C) თბილისში. 15 ლარი/დღე. კარის მიწოდება.
sleeping-bag-winter,Sleeping Bag — Winter -10°C Rental,საძილე ჩანთა — ზამთარი -10°C გაქირავება,Sleeping Bag,Sea to Summit,"sleeping-bag,winter",sleeping-systems,20,55,70,Sea to Summit,Regular,1.3,4-season,Excellent,"Sleeping bag, compression stuff sack",Winter-rated sleeping bag for cold conditions in high Caucasus.,ზამთრის რეიტინგის საძილე ჩანთა ცივი პირობებისთვის მაღალ კავკასიონში.,Winter Sleeping Bag Rental Tbilisi | [Your Brand],ზამთრის საძილე ჩანთის გაქირავება თბილისი | [Your Brand],Rent a -10°C winter sleeping bag in Tbilisi. 20 GEL/day. Free return pickup.,გაირიქავეთ -10°C ზამთრის საძილე ჩანთა თბილისში. 20 ლარი/დღე. უფასო დაბრუნების აღება.
sleeping-pad-inflatable,Sea to Summit Insulated Sleeping Pad Rental,Sea to Summit იზოლირებული საძილე ლეიბის გაქირავება,Sleeping Pad,Sea to Summit,"sleeping-pad,insulated",sleeping-systems,10,28,30,Sea to Summit,Regular,0.45,All-season,Excellent,"Inflatable pad, repair kit, stuff sack",Insulated inflatable pad. R-value 3.1 for comfort on cold ground.,იზოლირებული ინფლატორული ლეიბი. R-მნიშვნელობა 3.1 ცივ ნიადაგზე კომფორტისთვის.,Sleeping Pad Rental Tbilisi | [Your Brand],საძილე ლეიბის გაქირავება თბილისი | [Your Brand],Rent an insulated sleeping pad in Tbilisi. 10 GEL/day. Door delivery included.,გაირიქავეთ იზოლირებული საძილე ლეიბი თბილისში. 10 ლარი/დღე. კარის მიწოდება ჩართულია.
sleeping-pad-foam,Closed-Cell Foam Sleeping Pad Rental,დახურული უჯრედის ქაფის საძილე ლეიბის გაქირავება,Sleeping Pad,Generic,"sleeping-pad,foam,beginner-friendly",sleeping-systems,5,15,15,Generic,Regular,0.4,All-season,Good,Foam pad,Budget-friendly foam pad. Reliable and lightweight.,ბიუჯეტური ქაფის ლეიბი. სანდო და მსუბუქი.,Foam Sleeping Pad Rental Tbilisi | [Your Brand],ქაფის საძილე ლეიბის გაქირავება თბილისი | [Your Brand],Rent a foam sleeping pad in Tbilisi from 5 GEL/day. Affordable camping gear rental.,გაირიქავეთ ქაფის საძილე ლეიბი თბილისში 5 ლარიდან/დღე. ხელმისაწვდომი ბანაკის აღჭურვილობის გაქირავება.
